namc_code,true_tm2_code,query_text,query_sanskrit_term,tfidf_base_top1_pred,tfidf_base_top1_score,tfidf_base_top1_correct,tfidf_base_true_rank,tfidf_rerank_top1_pred,tfidf_rerank_top1_score,tfidf_rerank_top1_correct,tfidf_rerank_true_rank,tfidf_rerank_fixed,tfidf_rerank_hurt
AAC-9.2,SK55,(a) asādhya-ūrustambhaḥ (a) asādhya-ūrustambhaḥ (a) asādhya-ūrustambhaḥ (a) asādhya-ūrustambhaḥ - -,(a) asādhya-ūrustambhaḥ,SK55,0.9999999972145747,True,1.0,SK55,1.2499999972145748,True,1,False,False
AAC-12,SM31,"(a) ādhmānam (a) ādhmānam (a) ādhmānam (a) ādhmānam - It is characterised by distension of abdomen, flatulance, gurlging sounds, heaviness may be associated with pain, dyspepsia, constipation and dysuria. This may be explained by: (a) Aggravation of Descending vata affecting the excretory functions.",(a) ādhmānam,SM31,0.9999999907477213,True,1.0,SM31,1.2499999907477213,True,1,False,False
AAC-13,SK30,(a) bahirāyāmaḥ (a) bāhyāyāmaḥ (a) dhanuḥstambhaḥ (a) bahirāyāmaḥ (a) bāhyāyāmaḥ (a) dhanuḥstambhaḥ (a) bahirāyāmaḥ (a) bāhyāyāmaḥ (a) dhanuḥstambhaḥ (a) bahirāyāmaḥ (a) bāhyāyāmaḥ (a) dhanuḥstambhaḥ - -,(a) bahirāyāmaḥ (a) bāhyāyāmaḥ (a) dhanuḥstambhaḥ,SK30,0.9999999954332627,True,1.0,SK30,1.2499999954332628,True,1,False,False
AAC-16,SK5Y,(a) kalāyakhañjaḥ (a) kalāyakhañjaḥ (a) kalāyakhañjaḥ (a) kalāyakhañjaḥ - -,(a) kalāyakhañjaḥ,SK5Y,0.9999999824651934,True,1.0,SK5Y,1.2499999824651935,True,1,False,False
AAC-239,SK30,(a) daṇḍāpatānakaḥ (a) daṇḍāpatānakaḥ (a) daṇḍāpatānakaḥ (a) daṇḍāpatānakaḥ - -,(a) daṇḍāpatānakaḥ,SK30,0.9999999897884648,True,1.0,SK30,1.2499999897884648,True,1,False,False
AAC-27,SM83,(a) pratitūnī (a) pratitūnī (a) pratitūnī (a) pratitūnī - -,(a) pratitūnī,SM83,0.9999999937445143,True,1.0,SM83,1.2499999937445143,True,1,False,False
AAC-38,SK22,(a) sarvāṅgavātaḥ/(a) sarvāṅgarogaḥ (a) sarvāṅgavātaḥ/(a) sarvāṅgarogaḥ (a) sarvāṅgavātaḥ/(a) sarvāṅgarogaḥ (a) sarvāṅgavātaḥ/(a) sarvāṅgarogaḥ - -,(a) sarvāṅgavātaḥ/(a) sarvāṅgarogaḥ,SK22,0.9999999947086599,True,1.0,SK22,0.9999999947086599,True,1,False,False
AAC-39,SL7Y,(a) sirāgrahaḥ (a) sirāgrahaḥ (a) sirāgrahaḥ (a) sirāgrahaḥ - -,(a) sirāgrahaḥ,SL7Y,0.9999999940756716,True,1.0,SL7Y,1.2499999940756716,True,1,False,False
AAD-2.7,SR20,(a) pittāvṛta-samānavātaḥ (a) pittāvṛta-samānavātaḥ (a) pittāvṛta-samānavātaḥ (a) pittāvṛta-samānavātaḥ - -,(a) pittāvṛta-samānavātaḥ,SR20,0.9999999822863443,True,1.0,SR20,1.2499999822863443,True,1,False,False
AAD-2.9,SR20,(a) pittāvṛtavyānavātaḥ (a) pittāvṛtavyānavātaḥ (a) pittāvṛtavyānavātaḥ (a) pittāvṛtavyānavātaḥ - -,(a) pittāvṛtavyānavātaḥ,SR20,0.9999999529221789,True,1.0,SR20,1.2499999529221788,True,1,False,False
AAD-4,SR20,(a) malāvṛtavātaḥ (a) malāvṛtavātaḥ (a) malāvṛtavātaḥ (a) malāvṛtavātaḥ - -,(a) malāvṛtavātaḥ,SR20,0.9999999529221789,True,1.0,SR20,1.2499999529221788,True,1,False,False
AAD-4.1,SR20,(a) mūtrāvṛtavātaḥ (a) mūtrāvṛtavātaḥ (a) mūtrāvṛtavātaḥ (a) mūtrāvṛtavātaḥ - -,(a) mūtrāvṛtavātaḥ,SR20,0.9999999529221789,True,1.0,SR20,1.2499999529221788,True,1,False,False
AAD-5,SR20,(a) annāvṛtavātaḥ (a) annāvṛtavātaḥ (a) annāvṛtavātaḥ (a) annāvṛtavātaḥ - -,(a) annāvṛtavātaḥ,SR20,0.9999999529221789,True,1.0,SR20,1.2499999529221788,True,1,False,False
ABA-1,SR16,(a) pittasañcayaḥ (a) pittasañcayaḥ (a) pittasañcayaḥ (a) pittasañcayaḥ - It is characterized by yellowish discoloration of body and mild raised body temperature. This may be explained by accumulation of pittadosha at the designated site.,(a) pittasañcayaḥ,SR16,0.9999999965308993,True,1.0,SR16,1.2499999965308994,True,1,False,False
ABA-2,SR17,"(a) pittavṛddhiḥ (a) pittavṛddhiḥ (a) pittavṛddhiḥ (a) pittavṛddhiḥ - It is characterized by yellowish discoloration of the body, increased body heat, desire for cold, reduced sleep, loss of consciousness, weakness of body and sense organs, yellowish discoloration of stool, urine and eyes. This may be explained by marked increase of pittadosha functions and consequent physiological and pathological ramifications.",(a) pittavṛddhiḥ,SR17,0.9999999930944193,True,1.0,SR17,1.2499999930944194,True,1,False,False
ABA-2.1,SR15,"(a) pittaprakopaḥ (a) pittaprakopaḥ (a) pittaprakopaḥ (a) pittaprakopaḥ - It is characterized by sour eructation, excessive thirst and burning sensation. This may be explained by aggravation of pittadosha at its designated site and preparing to cause certain morbidity.",(a) pittaprakopaḥ,SR15,0.9999999946492549,True,1.0,SR15,1.2499999946492548,True,1,False,False
ABB-1,SK7Y,(a) akṣipākaḥ (a) akṣipākaḥ (a) akṣipākaḥ (a) akṣipākaḥ - -,(a) akṣipākaḥ,SK7Y,0.9999999762939309,True,1.0,SK7Y,1.249999976293931,True,1,False,False
ABB-7,SM3Y,(a) amlakaḥ (a) amlakaḥ (a) amlakaḥ (a) amlakaḥ - -,(a) amlakaḥ,SM3Y,0.99999997933602,True,1.0,SM3Y,1.2499999793360201,True,1,False,False
ABB-10,SP9Y,(a) ūṣmādhikyam (a) ūṣmādhikyam (a) ūṣmādhikyam (a) ūṣmādhikyam - -,(a) ūṣmādhikyam,SP9Y,0.9999999560751421,True,1.0,SP9Y,1.249999956075142,True,1,False,False
ABB-25,SP9Y,"(a) dhūmakaḥ, (a) dhūmodgāraḥ (a) dhūmakaḥ, (a) dhūmodgāraḥ (a) dhūmakaḥ, (a) dhūmodgāraḥ (a) dhūmakaḥ, (a) dhūmodgāraḥ - -","(a) dhūmakaḥ, (a) dhūmodgāraḥ",SP9Y,0.999999974639971,True,1.0,SP9Y,1.249999974639971,True,1,False,False
ABB-29,SP2Y,(a) māṃsakledaḥ (a) māṃsakledaḥ (a) māṃsakledaḥ (a) māṃsakledaḥ - -,(a) māṃsakledaḥ,SP2Y,0.9999999929355883,True,1.0,SP2Y,1.2499999929355883,True,1,False,False
ACA-1,SR1B,(a) kaphasañcayaḥ (a) kaphasañcayaḥ (a) kaphasañcayaḥ (a) kaphasañcayaḥ - It is characterized by heaviness of the body and lethargy. This may be explained by accumulation of kapha at the designated site.,(a) kaphasañcayaḥ,SR1B,0.9999999973117605,True,1.0,SR1B,1.2499999973117606,True,1,False,False
ACA-2,SR1C,"(a) kaphavṛddhiḥ (a) kaphavṛddhiḥ (a) kaphavṛddhiḥ (a) kaphavṛddhiḥ - It is characterized by whitish discoloration of body, feeling of cold, reduced mobility of the body, heaviness of the body, fatigue, feeling of drowsiness, excessive sleep, loosening of joints. This may be explained by marked increase of kaphadosha functions and consequent physiological and pathological ramifications.",(a) kaphavṛddhiḥ,SR1C,0.9999999937839197,True,1.0,SR1C,1.2499999937839197,True,1,False,False
ACA-4,SR1E,"(a) kaphakṣayaḥ (a) kaphakṣayaḥ (a) kaphakṣayaḥ (a) kaphakṣayaḥ - It is characterized by dryness of body, burning sensation inside the body, laxity of joints, thirst, weakness, reduced sleep. This may be explained by marked decrease of pittadosha functions and consequent physiological and pathological ramifications.",(a) kaphakṣayaḥ,SR1E,0.999999994548021,True,1.0,SR1E,1.2499999945480211,True,1,False,False
ACB-15,SQ4Y,(a) tandrā (a) tandrā (a) tandrā (a) tandrā - -,(a) tandrā,SQ4Y,0.9999999892990166,True,1.0,SQ4Y,1.2499999892990166,True,1,False,False
ACB-27,SP9Y,(a) staimityam (a) staimityam (a) staimityam (a) staimityam - -,(a) staimityam,SP9Y,0.9999999560751421,True,1.0,SP9Y,1.249999956075142,True,1,False,False
BD-2,SP62,"(a) medovṛddhiḥ (a) medovṛddhiḥ (a) medovṛddhiḥ (a) medovṛddhiḥ - It is characterised by generalized increase of fatty tissue in the body and may be associated with hyperlipidemia. This may be explained by: (a) Impaired digestive and metabolic factors related to fat tissue, deranged vata, kapha",(a) medovṛddhiḥ,SR47,0.999999994652587,False,2.0,SR47,1.249999994652587,False,2,False,False
BE-1,SR4A,"(a) asthikṣayaḥ (a) asthikṣayaḥ (a) asthikṣayaḥ (a) asthikṣayaḥ - It is characterized by scalp hair fall, thinning, body hair fall, thinning, nail fall, thinning, beard, moustache fall, thinning, teeth fall, decaying, exhaustion, fatigue, dislocation of joint, lax joints, pain in the bones, gums and tooth, cracked teeth, cracked nail, dryness, roughness, dryness, pricking type of pain in the bones, desire to eat bony-meat. (a) This may be explained by morbid decrease bone tissue.",(a) asthikṣayaḥ,SR1S,0.999999993064479,False,4.0,SR4A,1.0047681550092737,True,1,True,False
BF-2,SR4B,"(a) majjāvṛddhiḥ (a) majjāvṛddhiḥ (a) majjāvṛddhiḥ (a) majjāvṛddhiḥ - It is characterized by heaviness of the whole body, heaviness and swelling of the eyes, redness of eyes, redness of body, furuncles at the base of small joints ,swollen phalanges, oliguria, and nonhealing ulcers. (a) This may be explained by morbid increase in bone marrow tissue.",(a) majjāvṛddhiḥ,SR4B,0.9999999958624451,True,1.0,SR4B,1.2499999958624453,True,1,False,False
BA-3.1,SR4K,"(a) ārtavakṣayaḥ (a) ārtavakṣayaḥ (a) ārtavakṣayaḥ (a) ārtavakṣayaḥ - It is characterized by menstruation not on proper time, metrorrhagia, scanty menstrual flow, pain in vagina. This may be explained by decrease in circulating fluid in turn causing quantitative decrease of menstrual flow.",(a) ārtavakṣayaḥ,SR4K,0.9999999973711872,True,1.0,SR4K,1.2499999973711873,True,1,False,False
BH-1,SR4F,"(a) ojaḥkṣayaḥ (a) ojaḥkṣayaḥ (a) ojaḥkṣayaḥ (a) ojaḥkṣayaḥ - It is characterized by fear, loss of physical strength or weakness, constantly thinking, distressed sense organs, sense organs not able to perform properly, diminished complexion, lack mental strength, dry, wasted, dried up, emaciated, syncope, attacks of swooning, extreme wasting of muscles, diminution of muscle mass, confusion, delirium, excess talking, irrelevant speech, incoherent speech, death. This may be explained by morbid decrease (quantitative) of ojas and consequent physiological and pathological ramifications.",(a) ojaḥkṣayaḥ,SR4F,0.9999999962471259,True,1.0,SR4F,1.249999996247126,True,1,False,False
CC-2,SN45,(a) svedavṛddhiḥ (a) svedavṛddhiḥ (a) svedavṛddhiḥ (a) svedavṛddhiḥ - It is characterised by excessive sweating. This may be explained by: (a) Increased pittadosha.,(a) svedavṛddhiḥ,SR84,0.9999999958003194,False,2.0,SR84,1.2499999958003194,False,2,False,False
CA-1,SR83,"mūtrakṣayaḥ mūtrakṣayaḥ mūtrakṣayaḥ mūtrakṣayaḥ - It is characterized by dysuria, pricking pain in urinary bladder, oliguria, discolouration of urine, hematuria, thirst and dryness of mouth. This may be explained by abnormal decrease in urine production resulting in local and systemic manifestations.",mūtrakṣayaḥ,SR83,0.9999999954024652,True,1.0,SR83,1.2499999954024652,True,1,False,False
CA-2,SR82,"(a) mūtravṛddhiḥ (a) mūtravṛddhiḥ (a) mūtravṛddhiḥ (a) mūtravṛddhiḥ - It is characterized by frequent micturition, pricking pain in urinary bladder, abdominal distension, feeling of urge even after micturition. This may be explained by abnormal increase in urine production resulting in local and systemic manifestations.",(a) mūtravṛddhiḥ,SR82,0.9999999950192032,True,1.0,SR82,1.2499999950192033,True,1,False,False
CB-1,SR81,"(a) purīṣakṣayaḥ (a) purīṣakṣayaḥ (a) purīṣakṣayaḥ (a) purīṣakṣayaḥ - It is characterized by gripping type of pain (colic), pain in the pericardial region, angina pectoris, pain in flanks, reverse intestinal movement of vāta associated with sound, oblique movement of vāta with sound in abdomen, increased bowel movements in flanks, less quantity of faeces. This may be explained by abnormal decrease in fecal production resulting in local and systemic manifestations.",(a) purīṣakṣayaḥ,SR81,0.9999999953966043,True,1.0,SR81,1.2499999953966043,True,1,False,False
CB-2,SR80,"(a) purīṣavṛddhiḥ (a) purīṣavṛddhiḥ (a) purīṣavṛddhiḥ (a) purīṣavṛddhiḥ - It is characterized by gurgling sound in flanks, heaviness and enlargement of abdomen. Gurgling sound in flanks to be changed to gurgling sounds in abdomen. This may be explained by abnormal accumulation of feces resulting in local and systemic manifestations.",(a) purīṣavṛddhiḥ,SR80,0.9999999952987335,True,1.0,SR80,1.2499999952987335,True,1,False,False
CB-3,SR86,"(a) sāmamalaḥ (a) sāmamalaḥ (a) sāmamalaḥ (a) sāmamalaḥ - It is characterized by obstruction in channels, diminution of physical strength, heaviness, lethargy, indigestion, spitting out, obstruction to passage of faeces, tastelessness and exhaustion without exertion. This may be explained by consequences incompletely formed stools due to diminished digestive fire.",(a) sāmamalaḥ,SR86,0.9999999932523902,True,1.0,SR86,1.2499999932523902,True,1,False,False
D,SS10,(a) agnivaiṣamyam (a) agnivaiṣamyam (a) agnivaiṣamyam (a) agnivaiṣamyam - It is characterized by derangement of digestive power. This may be explained by vitiation of digestive fire in turn resulting in local and systemic effects.,(a) agnivaiṣamyam,SS10,0.9999999978142508,True,1.0,SS10,1.2499999978142506,True,1,False,False
DB-2,SS11,(a) viṣamāgniḥ (a) viṣamāgniḥ (a) viṣamāgniḥ (a) viṣamāgniḥ - It is characterized by irregular digestion irrespective of quantity and quality of food. This may be explained by vitiation of digestive fire in turn resulting in erratic behavour of digestive system.,(a) viṣamāgniḥ,SS11,0.9999999960852175,True,1.0,SS11,1.2499999960852175,True,1,False,False
DB-4,SS14,"(a) atyagniḥ, (a) bhasmakaḥ (a) atyagniḥ, (a) bhasmakaḥ (a) atyagniḥ, (a) bhasmakaḥ (a) atyagniḥ, (a) bhasmakaḥ - It is characterized by severly increased state of digestive power leading to quick digestion of food despite of frequent and extra quantity intake. If food is not taken, leads to digestion of body tissues leading to weakness, succumbs to death, may be associated with thirst, difficulty in breathing, burning sensation, syncope, burning sensation in throat, palate, lips at the end of digestion. This may be explained by morbid increase of the digestive fire resulting accelerated metabolism to the extent that the tissues are also get affected.","(a) atyagniḥ, (a) bhasmakaḥ",SS14,0.9999999964377175,True,1.0,SS14,1.2499999964377175,True,1,False,False
EA-2.5,SM74,(a) kṣudrā hikkā (a) kṣudrā hikkā (a) kṣudrā hikkā (a) kṣudrā hikkā - -,(a) kṣudrā hikkā,SM74,0.9999999930495524,True,1.0,SM74,1.2499999930495524,True,1,False,False
EA-4.5.1,SL40,(a)pratamakaśvāsaḥ (a)pratamakaśvāsaḥ (a)pratamakaśvāsaḥ (a)pratamakaśvāsaḥ - -,(a)pratamakaśvāsaḥ,SL40,0.999999987661239,True,1.0,SL40,0.999999987661239,True,1,False,False
EB-1,SR59,"(a) annavahasrotoduṣṭiḥ (a) annavahasrotoduṣṭiḥ (a) annavahasrotoduṣṭiḥ (a) annavahasrotoduṣṭiḥ - It is characterized by disinclination for food, tastelessness, indigestion, vomiting. This may be explained by derangement (functional or anatomical or both) digestive tract.",(a) annavahasrotoduṣṭiḥ,SR59,0.9999999971894683,True,1.0,SR59,1.2499999971894682,True,1,False,False
EB-2,SM37,(a) atisāraḥ (a) atisāraḥ (a) atisāraḥ (a) atisāraḥ - It is characterised by passage of loose stools may or may not be mixed with blood and pus. This may be explained by: (a) Weakness of digestive and metabolic factors followed by increased vata moving the watery components downwards in the intestine.,(a) atisāraḥ,SM37,0.9999999922108104,True,1.0,SM37,1.2499999922108103,True,1,False,False
EB-3.9,SM3C,"(a) alasaka (a) alasaka (a) alasaka (a) alasaka - It is characterised by marked distension of abdomen, the undigested food remains in the stomach without getting evacuated from the body either by vomiting or by defecation. This may be explained by: (a) Loss of functionality of vata in stomach region.",(a) alasaka,SR86,0.9999999900382991,False,2.0,SM3C,1.1805256550327967,True,1,True,False
EB-6,SM3L,"(a) chardiḥ (a) chardiḥ (a) chardiḥ (a) chardiḥ - It is characterised by excessive vomiting. This may be explained by: (a) Weak digestive and metabolic factors, leading to primary product of digested food being vitiated by pitta, kapha and vata.",(a) chardiḥ,SM3J,0.9999999923773015,False,4.0,SM3L,1.0267458873813338,True,1,True,False
EB-8,SM3K,"(a) gulmaḥ (a) gulmaḥ (a) gulmaḥ (a) gulmaḥ - It is characterised by moving lump like swelling in the abdomen of various sizes and characters associated with abdominal pain, distension. This may be explained by: (a) Vitiation of digestive and metabolic factors, all the three dosha affecting stomach and intestines.",(a) gulmaḥ,SM3K,0.9999999945014787,True,1.0,SM3K,1.2499999945014788,True,1,False,False
EB-10,SM33,"(a) śūlaḥ (a) śūlaḥ (a) śūlaḥ (a) śūlaḥ - It is characterised by pain in abdomen, burning sensation, distension and flatulence. This may be explained by: (a) Vitiated dosha especially vatadosha affecting the abdominal organs.",(a) śūlaḥ,SP9Y,0.9999999888839158,False,2.0,SM33,1.072232211096149,True,1,True,False
EB-10.15,SM70,"(a) pārśvarujaḥ (a) pārśvaśūlaḥ (a) pārśvarujaḥ (a) pārśvaśūlaḥ (a) pārśvarujaḥ (a) pārśvaśūlaḥ (a) pārśvarujaḥ (a) pārśvaśūlaḥ - It is characterised by severe pain in both flanks. It may be asociated with restlessness, abdominal discomfort, lack of appetite, sleeplessness. This may be explained by: (a) Deranged digestive and metabolic factors, vitiated kapha, pitta and vata affecting the flanks.",(a) pārśvarujaḥ (a) pārśvaśūlaḥ,SM70,0.9999999958935245,True,1.0,SM70,0.9999999958935245,True,1,False,False
EC-3,SP51,(a) jvara (a) jvara (a) jvara (a) jvara - It is characterised by increased body temperature leading to disturbance in normal functions of the body. This may be explained by: (a) Any of the three dosha affecting the primary product of digested food.,(a) jvara,SP51,0.9999999947008763,True,1.0,SP51,1.2499999947008762,True,1,False,False
EC-3.2,SP54,"(a) vātikajvaraḥ (a) vātikajvaraḥ (a) vātikajvaraḥ (a) vātikajvaraḥ - It is characterised by body pain, blackish discoloration of body, irregular fever, constipation. This may be explained by: (a) Increased vata affecting the primary product of digested food and leading to weakness of digestive and metabolic factors.",(a) vātikajvaraḥ,SP54,0.9999999960593544,True,1.0,SP54,1.2499999960593544,True,1,False,False
