query_sanskrit_term,num_unique_predictions,num_models,error_count
(a) lohitārma (a) kṣatārma,2,3,3
(a) majjāparipākaḥ,2,3,3
(a) malāvṛtavātaḥ,2,3,3
(a) matsyakāyaḥ (a) mātsyasattvaṃ,2,3,3
(a) māṃsakledaḥ,2,3,3
(a) mūtrāvṛtavātaḥ,2,3,3
(a) pittaja-aśmarī,2,3,3
(a) pittāvṛtavyānavātaḥ,2,3,3
(a) purīṣavegarodhaḥ,2,3,3
(a) puṇḍarīkaḥ,2,3,3
(a) pādabhraṃśaḥ,2,3,3
(a) pūyaraktam (a) pūyaśoṇitam,2,3,3
(a) sannipātōdaraḥ-udararogaḥ,2,3,3
(a) sarvāṅgavātaḥ/(a) sarvāṅgarogaḥ,2,3,3
(a) sirāgrahaḥ,2,3,3
(a) svaraghnam,2,3,3
(a) sānnipātajakarṇarogaḥ (a) sannipātika-karṇaśūlaḥ,2,3,3
(a) sūtikārogaḥ,2,3,3
(a) tandrā,2,3,3
"(a) tālupākaḥ, (a) tāluśothaḥ",2,3,3
(a) udāvartinī,2,3,3
(a) vihāravaiṣamyam,2,3,3
(a) vyavāyātiyogaḥ,2,3,3
(a) vāminī,2,3,3
(a) vātāṣṭhīlā,2,3,3
(a) ārtavakṣayaḥ,2,3,3
(a) śālidhānya-atiyogaḥ,2,3,3
galavidradhiḥ,2,3,3
(a) adhovātavegāvarodhaḥ,2,2,2
(a) arasajñatā,2,2,2
(a) carmakīlaḥ,2,2,2
(a) majjāvṛddhiḥ,2,2,2
(a) purīṣakṣayaḥ,2,2,2
(a) pāṣāṇagardabhaḥ,2,2,2
(a) pūyālasaḥ,2,2,2
(a) yuvānapiḍakā,2,2,2
(a) madaḥ,1,6,6
(a) snāyukarogaḥ,1,4,4
(a) svedavṛddhiḥ,1,4,4
(a) asthiśoṣaḥ,1,2,2
(a) brahmakāyaḥ (a) brāhmasattvaṃ,1,2,2
(a) kaphavṛddhiḥ,1,2,2
"(a) kālamehaḥ, (a) kṛṣṇamehaḥ",1,2,2
(a) medovṛddhiḥ,1,2,2
(a) pittavṛddhiḥ,1,2,2
(a) pittāvṛta-samānavātaḥ,1,2,2
(a) pāśavakāyaḥ (a) pāśavasattvaṃ,1,2,2
(a) snāyvarma,1,2,2
"(a) tālupiḍakā, (a) tālupiṭikā",1,2,2
(a) unmādaḥ,1,2,2
"(a) vātakhuḍḍatā, (a) vātakaṇṭakaḥ",1,2,2
(a) adhruṣaḥ,1,1,1
(a) alasaka,1,1,1
(a) apacī,1,1,1
(a) apatantrakaḥ,1,1,1
(a) arbudaḥ,1,1,1
(a) asādhya-ūrustambhaḥ,1,1,1
(a) asṛgdaraḥ (a) Raktapradar,1,1,1
(a) atisāraḥ,1,1,1
(a) añjananāmikā,1,1,1
(a) aśmarī,1,1,1
(a) bahirāyāmaḥ (a) bāhyāyāmaḥ (a) dhanuḥstambhaḥ,1,1,1
(a) bhraṃśathuḥ,1,1,1
(a) chardiḥ,1,1,1
(a) dantaghātaḥ,1,1,1
(a) dantaveṣṭakaḥ,1,1,1
(a) galaughaḥ,1,1,1
(a) gaṇḍamālā,1,1,1
(a) gudabhraṃśaḥ,1,1,1
(a) indraluptaḥ,1,1,1
(a) jaṅgamaviṣaḥ,1,1,1
(a) jvara,1,1,1
"(a) kacchapaḥ, (a) kacchapī",1,1,1
(a) kakṣāḥ,1,1,1
(a) kaphakṣayaḥ,1,1,1
(a) karṇa-gūthakaḥ,1,1,1
(a) karṇa-vidradhiḥ,1,1,1
(a) kumāraśoṣaḥ,1,1,1
(a) kṣudrā hikkā,1,1,1
(a) kṣudvegarodhaḥ,1,1,1
(a) lohitakṣayā,1,1,1
(a) lohitamehaḥ,1,1,1
(a) mukhaśoṣaḥ,1,1,1
(a) mūtravṛddhiḥ,1,1,1
(a) mūtrotsaṅgaḥ,1,1,1
(a) netraja-arśaḥ,1,1,1
(a) nidrānāśaḥ (a) asvapnaḥ,1,1,1
(a) nāḍīkalpana-vyāpat,1,1,1
(a) ojaḥkṣayaḥ,1,1,1
(a) prastāri-arma,1,1,1
(a) pratitūnī,1,1,1
(a) pratiśyāyaḥ (a) pīnasaḥ,1,1,1
"(a) r̥ṣikāyaḥ (a) ṛṣisattvaṃ, (a) ārṣasattvaṃ",1,1,1
(a) savraṇaśukraḥ,1,1,1
(a) sirotpātaḥ,1,1,1
(a) sirāpraharṣaḥ (a) Sirāharṣaḥ,1,1,1
(a) sāmamalaḥ,1,1,1
(a) sānnipātika-kācaḥ,1,1,1
(a) tṛṣṇāvegarodhaḥ,1,1,1
"(a) udumbara-kuṣṭhaḥ, (a) paittika-kuṣṭhaḥ",1,1,1
(a) yakr̥jjavidradhiḥ,1,1,1
(a) yonikandaḥ,1,1,1
(a) ādhmānam,1,1,1
(a) śarkarārbudaḥ,1,1,1
(a) śuklārma,1,1,1
(a) śūkarogaḥ,1,1,1
(a) śūlaḥ,1,1,1
mūtrakṣayaḥ,1,1,1
