namc_code,namc_term_diacritical,query,label
AAB-35,(a) gudārtiḥ,(a) gudārtiḥ (a) gudārtiḥ It is characterised by pain in the anal region radiating to rest of perineum and lower back. This may be explained by: (a) Severe vitiation of Descending vata affecting the anal region. -,Proctalgia disorder (TM2)
AAB-36,(a) gulpha-grahaḥ,(a) gulpha-grahaḥ (a) gulpha-grahaḥ - -,Stiff ankle disorder (TM2) ⇒
AAB-37,gr̥dhrasī (kēvalavāta),"gr̥dhrasī (kēvalavāta) gr̥dhrasī (kēvalavāta) the disorder is characterized by kramāt sphik-kaṭi-pr̥ṣṭha-ūru-jānu-jaṅghā-padēṣu stambhaḥ [gradual stiffness in gluteal region- low back- upper back- thigh- knee- calf muscles- feet], spandatē muhuḥ [constant/frequent throbbing/twiching sensation], sakthi-nigr̥hṇana [supression/holding down of thighs], jānusaṁdhi-sphuraṇam [twitching sensation in knee], jānusaṁdhi-stabdhatā [stiffness in knee joint], kaṭisaṁdhi-sphuraṇam [twitching sensation in waist], kaṭisaṁdhi-stabdhatā [stiffness of lowback], ūrusaṁdhi-sphuraṇam [twitching sensation in thigh], ūrusaṁdhi-stabdhatā [stiffness in thigh], tōdaḥ [pricking pain], dēha-pravakratā [bending/flexion of the body] -",sciatia (due only to vātadōṣa)
AAB-38,(a) ghrāṇanāśaḥ,"(a) ghrāṇanāśaḥ (a) ghrāṇanāśaḥ It is characterised by decreased or loss of the smell. It may be explained by: (a) Vatadosha, kaphadosha blocking nasal passages -",Anosmia disorder (TM2)
AAB-39,(a) jānubhedaḥ,(a) jānubhedaḥ (a) jānubhedaḥ - -,Breaking pain of knees disorder (TM2) ⇒
AAB-40,(a) jānuviśleṣaḥ,(a) jānuviśleṣaḥ (a) jānuviśleṣaḥ - -,Lax knee disorder (TM2) ⇒
AAB-41,(a) jr̥mbhā,(a) jr̥mbhā (a) jr̥mbhā It is characterised by morbid excessive yawning. This may be explained by: (a) Increased vatadosha. -,Excessive yawning disorder (TM2)
AAB-42,(a) tamaḥ,(a) tamaḥ (a) tamaḥ - -,Fainting disorder due to Vata (TM2) ⇒
AAB-43,timiraḥ (kēvalavāta),timiraḥ (kēvalavāta) timiraḥ (kēvalavāta) - -,partial or total blindness/amaurosis/ametropia/partial obstruction of vision (due only to vātadōṣa)
AAB-44,(a) prasuptiḥ (a) tvakśūnyatā,(a) prasuptiḥ (a) tvakśūnyatā (a) prasuptiḥ (a) tvakśūnyatā - -,Hypoesthesia disorder (TM2) ⇒
AAB-45,(a) todaḥ,(a) todaḥ (a) todaḥ - -,Pricking pain disorder (TM2) ⇒
AAB-46,(a) daṇḍakaḥ,(a) daṇḍakaḥ (a) daṇḍakaḥ - -,Whole body stiffness with immobility disorder (TM2) ⇒
AAB-47,dantabhēdaḥ (kēvalavāta),dantabhēdaḥ (kēvalavāta) dantabhēdaḥ (kēvalavāta) - -,odontalgia/tooth fracture (due only to vātadōṣa)
AAB-48,(a) dantaśaithilyam,(a) dantaśaithilyam (a) dantaśaithilyam - -,Loose tooth disorder (TM2) ⇒
AAB-49,(a) nakhabhedaḥ,"(a) nakhabhedaḥ (a) nakhabhedaḥ It is characterised by whitish, mica coloured discoloration, brittleness of nails. This may be explained by: (a) Vitiated digestive and metabolic factors resulting in non absorption of nutrients leading to vitiation of vatadosha. -",Brittle nails disorder (TM2)
AAB-50,(a) hrasvakeśaḥ,(a) hrasvakeśaḥ (a) hrasvakeśaḥ - -,Short hair disorder (TM2) ⇒
AAB-51,nirāmavātaḥ,nirāmavātaḥ nirāmavātaḥ - -,vitiation of vāta without association of āma (undigested material)
AAB-52,pakṣāghātaḥ/pakṣavadhaḥ (kēvalavāta),pakṣāghātaḥ/pakṣavadhaḥ (kēvalavāta) pakṣāghātaḥ/pakṣavadhaḥ (kēvalavāta) - -,hemiplegia/hemiparesis (due only to vātadōṣa)
AAB-53,(a) pāṅgulyam,(a) pāṅgulyam (a) pāṅgulyam - -,lameness (bilateral) / lower limb paralysis (TM2)
AAB-54,(a) pādabhraṃśaḥ,(a) pādabhraṃśaḥ (a) pādabhraṃśaḥ - -,Foot drop disorder (TM2) ⇒
AAB-55,(a) pādaśūlaḥ,(a) pādaśūlaḥ (a) pādaśūlaḥ - -,Leg pain disorder (TM2) ⇒
AAB-56,(a) pādasuptatā,(a) pādasuptatā (a) pādasuptatā - -,Numbness of foot disorder (TM2) ⇒
AAB-57,(a) pāruṣyam,(a) pāruṣyam (a) pāruṣyam It is characterised by roughness and thickness of skin may be associated with itching. This may be explained by: (a) Vitiated vatadosha. -,Roughness of skin disorder (TM2)
AAB-58,pārśvāvamardaḥ (kēvalavāta),pārśvāvamardaḥ (kēvalavāta) pārśvāvamardaḥ (kēvalavāta) - -,flank pain (due only to vātadōṣa)
AAB-59,(a) piṇḍikodveṣṭanam,(a) piṇḍikodveṣṭanam (a) piṇḍikodveṣṭanam - -,Calf muscle cramp disorder (TM2) ⇒
AAB-60,purīṣātigāḍhatvam (kēvalavāta),purīṣātigāḍhatvam (kēvalavāta) purīṣātigāḍhatvam (kēvalavāta) - -,hard stool (due only to vātadōṣa)
AAB-61,(a) pṛṣṭha-grahaḥ,"(a) pṛṣṭha-grahaḥ (a) pṛṣṭha-grahaḥ It is characterised by backache of various degrees associated with stiffness and immobility. This may be explained by: (a) Vitiation of vata, kapha affecting the local muscle tissue. -",Lumbar spondylosis disorder (TM2)
AAB-62,pralāpakaḥ (kēvalavāta),pralāpakaḥ (kēvalavāta) pralāpakaḥ (kēvalavāta) - -,delirium (due only to vātadōṣa)
AAB-63,bādhiryam (kēvalavāta),bādhiryam (kēvalavāta) bādhiryam (kēvalavāta) - -,deafness (due only to vātadōṣa)
AAB-64,(a) bāhuśoṣaḥ,(a) bāhuśoṣaḥ (a) bāhuśoṣaḥ - -,Atrophy of arm disorder (TM2) ⇒
AAB-65,(a) balahāniḥ,(a) balahāniḥ (a) balahāniḥ - -,Weakness disorder (TM2) ⇒
AAB-66,(a) bhedaḥ,(a) bhedaḥ (a) bhedaḥ - -,Splitting pain disorder (TM2) ⇒
AAB-67,,- -,cowardness (due only to vātadōṣa)
AAB-68,(a) mala-apravṛtiḥ,(a) mala-apravṛtiḥ (a) mala-apravṛtiḥ - -,Retention of stool disorder (TM2) ⇒
AAB-69,mūkatvam (kēvalavāta),mūkatvam (kēvalavāta) mūkatvam (kēvalavāta) - -,dumbness/aphasia (due only to vātadōṣa)
AAB-70,mōhaḥ (kēvalavāta),mōhaḥ (kēvalavāta) mōhaḥ (kēvalavāta) - -,unconsciousness (due only to vātadōṣa)
AAB-71,bhramaḥ (kēvalavāta),bhramaḥ (kēvalavāta) bhramaḥ (kēvalavāta) - -,giddiness (due only to vātadōṣa)
AAB-72,(a) bhrūvyudāsaḥ,(a) bhrūvyudāsaḥ (a) bhrūvyudāsaḥ - -,Twitching eyebrow disorder (TM2) ⇒
AAB-73,,- -,stiff neck/torticollis/wry neck (due only to vātadōṣa)
AAB-74,(a) mukhaśoṣaḥ,"(a) mukhaśoṣaḥ (a) mukhaśoṣaḥ It is characterised by dryness of the tongue and may be associated with dryness of mouth, bitterness, heartburn. This may be explained by: (a) Vitiation of kapha, vata affecting the tongue. -",Xerostomia disorder (TM2)
AAB-75,(a) mūtranigrahaḥ,"(a) mūtranigrahaḥ (a) mūtranigrahaḥ It is characterised by retention of urine, inability to urinate, abdominal pain. This may be explained by: (a) Retention of the urine due to vātadosha. -",Retention of urine disorder (TM2)
AAB-76,rajōnāśaḥ (kēvalavāta),rajōnāśaḥ (kēvalavāta) rajōnāśaḥ (kēvalavāta) - -,amenorrhoea (due only to vātadōṣa)
AAB-77,(a) raukṣyam,"(a) raukṣyam (a) raukṣyam It is characterised by dryness, scaliness and cracking of extremities and face. This may be explained by: (a) Increased vata affecting skin -",Dryness of skin disorder (TM2)
AAB-78,(a) lomaharṣaḥ,(a) lomaharṣaḥ (a) lomaharṣaḥ - -,Horripilation disorder (TM2) ⇒
AAB-79,(a) lalāṭabhedaḥ,(a) lalāṭabhedaḥ (a) lalāṭabhedaḥ - -,Other specified headache disorders (TM2)
AAB-80,(a) trikagrahaḥ,(a) trikagrahaḥ (a) trikagrahaḥ - -,Sacroiliac joint stiffness disorder (TM2) ⇒
AAB-81,vartmastambhaḥ (kēvalavāta),vartmastambhaḥ (kēvalavāta) vartmastambhaḥ (kēvalavāta) - -,ptosis/stiff eyelid (due only to vātadōṣa)
AAB-82,(a) vartmasaṅkocaḥ,(a) vartmasaṅkocaḥ (a) vartmasaṅkocaḥ - -,Entropion disorder (TM2) ⇒
AAB-83,(a) vakṣoparodhaḥ,(a) vakṣoparodhaḥ (a) vakṣoparodhaḥ - -,Impaired thoracic mobility disorder (TM2) ⇒
AAB-84,(a) vakṣastodaḥ,(a) vakṣastodaḥ (a) vakṣastodaḥ - -,Chest pain disorder (TM2) ⇒
AAB-85,(a) vāk-saṅgaḥ,"(a) vāk-saṅgaḥ (a) vāk-saṅgaḥ It is characterised by loss of speech clarity, lalling, strained speech, may be aggravated due to excess speech. This may be explained by: (a) Aggravagtion of vata affecting kapha and faculty of speech. -",Stammering disorder (TM2)
AAB-86,(a) vācālatā,(a) vācālatā (a) vācālatā - -,Talkativeness disorder (TM2) ⇒
AAB-87,"(a) vātakhuḍḍatā, (a) vātakaṇṭakaḥ","(a) vātakhuḍḍatā, (a) vātakaṇṭakaḥ (a) vātakhuḍḍatā, (a) vātakaṇṭakaḥ - -",Ankle deformity disorder (TM2) ⇒
AAB-88,(a) vāmanatvam,(a) vāmanatvam (a) vāmanatvam - -,Dwarfism disorder (TM2) ⇒
AAB-89,(a) viḍ-bhedaḥ,(a) viḍ-bhedaḥ (a) viḍ-bhedaḥ - -,Diarrhoea disorder due only to Vāta (TM2) ⇒
AAB-90,vipādikā (nānātmaja) (kēvalavāta),vipādikā (nānātmaja) (kēvalavāta) vipādikā (nānātmaja) (kēvalavāta) - -,cracks in palms and soles (due only to vātadōṣa)
AAB-91,(a) viṣādaḥ (a) dīnatā,(a) viṣādaḥ (a) dīnatā (a) viṣādaḥ (a) dīnatā - -,Transient depression disorder (TM2) ⇒
AAB-92,(a) vṛṣaṇākṣepaḥ,(a) vṛṣaṇākṣepaḥ (a) vṛṣaṇākṣepaḥ - -,Scrotal pain disorder (TM2) ⇒
AAB-93,(a) vaṅkṣaṇānāhaḥ,(a) vaṅkṣaṇānāhaḥ (a) vaṅkṣaṇānāhaḥ - -,Distention of inguinal region disorder (TM2) ⇒
AAB-94,(a) vyathā,(a) vyathā (a) vyathā - -,Agonising pain disorder (TM2) ⇒
AAB-95,(a) śirāsphūrtiḥ,(a) śirāsphūrtiḥ (a) śirāsphūrtiḥ - -,Vasodilatation disorder (TM2) ⇒
AAB-96,śirōruk (kēvalavāta),śirōruk (kēvalavāta) śirōruk (kēvalavāta) - -,headache/cephalgia/cephalalgia (due only to vātadōṣa)
AAB-97,(a) śukrakṣayaḥ,"(a) śukrakṣayaḥ (a) śukrakṣayaḥ It is characterised by decreased quantity and quality of semen, decreased sexual power, spermatorrhoea. This may be explained by: (a) Vitiation of all three dosha affecting male reproductive system. -",Oligospermia disorder (TM2)
AAB-98,śaṅkhabhēdaḥ (kēvalavāta),śaṅkhabhēdaḥ (kēvalavāta) śaṅkhabhēdaḥ (kēvalavāta) - -,temporal cephalalgia (due only to vātadōṣa)
AAB-99,(a) śephastambhaḥ,(a) śephastambhaḥ (a) śephastambhaḥ It is characterised by painful penile erection. This may be explained by: (a) Vitiated vata affecting the penis. -,Priapism disorder (TM2)
AAB-100,(a) śaityam,(a) śaityam (a) śaityam - -,Chills disorder only due to Kapha (TM2) ⇒
AAB-101,śyāvāruṇāsyatā (kēvalavāta),śyāvāruṇāsyatā (kēvalavāta) śyāvāruṇāsyatā (kēvalavāta) - -,dusky-red oral pigmentation (due only to vātadōṣa)
AAB-102,śrōṇibhēdaḥ (kēvalavāta),śrōṇibhēdaḥ (kēvalavāta) śrōṇibhēdaḥ (kēvalavāta) - -,pelvic pain (due only to vātadōṣa)
AAB-103,(a) saṅkocaḥ,(a) saṅkocaḥ (a) saṅkocaḥ - -,Contracture disorder (TM2) ⇒
AAB-104,svēdanāśaḥ (kēvalavāta),svēdanāśaḥ (kēvalavāta) svēdanāśaḥ (kēvalavāta) - -,anhidrosis/hypohidrosis (due only to vātadōṣa)
AAB-105,(a) śramaḥ,(a) śramaḥ (a) śramaḥ - -,Physical exhaustion disorder (TM2) ⇒
AAB-106,sarvāṅgarōgaḥ/sarvāṅgavātaḥ (kēvalavāta),sarvāṅgarōgaḥ/sarvāṅgavātaḥ (kēvalavāta) sarvāṅgarōgaḥ/sarvāṅgavātaḥ (kēvalavāta) - -,total body paralysis/quadriplegia (due only to vātadōṣa)
AAB-107,(a) stambhaḥ,(a) stambhaḥ (a) stambhaḥ - -,Stiffness disorder (TM2) ⇒
AAB-108,(a) hanubhedaḥ,(a) hanubhedaḥ (a) hanubhedaḥ - -,Jaw pain disorder (TM2) ⇒
AAB-109,hikkā (kēvalavāta),hikkā (kēvalavāta) hikkā (kēvalavāta) - -,hiccup/singultus (due only to vātadōṣa)
AAB-110,(a) hṛddravaḥ,(a) hṛddravaḥ (a) hṛddravaḥ It is characterised by feeling of increased beating of the heart which is within the notice of the patient with or without tachycardia. This may be explained by: (a) Vitiation of vata affecting the heart region. -,Palpitation disorder (TM2)
AAB-111,(a) hṛnmohaḥ,(a) hṛnmohaḥ (a) hṛnmohaḥ It is characterised by decreased heart rate may be associated with decreased heart function. This may be explained by: (a) Vitiated vata affecting pitta for intellect. -,Slow heart disorder (TM2)
AAC,sāmānyajavātavikāraḥ,sāmānyajavātavikāraḥ sāmānyajavātavikāraḥ - -,diseases due to vāta
AAC-1,(a) antarāyāmaḥ,(a) antarāyāmaḥ (a) antarāyāmaḥ - -,Emprosthotonus disorder (TM2) ⇒
AAC-2,(a) apatantrakaḥ,(a) apatantrakaḥ (a) apatantrakaḥ - -,Convulsive fit disorder (TM2) ⇒
AAC-2.1,asādhya-apatantrakaḥ,"asādhya-apatantrakaḥ asādhya-apatantrakaḥ the disorder is characterized by garbhapātasamutpannaḥ [caused by miscarriage], śōṇitātisravōtthitaḥ [caused by excessive bleeding/heamorrhage], abhighātasamutthaḥ [caused by trauma] -",intractable convulsive fit
AAC-3,(a) apatānakaḥ,(a) apatānakaḥ (a) apatānakaḥ - -,Orthotonus disorder (TM2) ⇒
AAC-4,(a) arditaḥ,"(a) arditaḥ (a) arditaḥ It is characterised by deviation of one side of the face, difficulty in speech, loss of wrinkling, non closure of eyes and lips and dribbling of saliva from the angles of mouth This may be explained by: (a) increased vatadosha affecting one half of the face. -",Facial palsy disorder (TM2)
AAC-4.1,ardita-pūrvarupam,"ardita-pūrvarupam ardita-pūrvarupam the disorder is characterized by rōmaharṣaḥ [horripilation], vēpathuḥ [shivering/tremors], āvilanētraḥ [turbid/muddy eyes], tvaci svāpaḥ [numbness in skin], tōdaḥ [pricking pain], manyāgrahaḥ [neck stiffness], hanugrahaḥ [lock jaw/catching sensation over jaw], ūrdhvavāyuḥ [upward movement of vāyu] -",prodromes of facial paralysis
AAC-4.2,asādhya-arditaḥ,"asādhya-arditaḥ asādhya-arditaḥ the disorder is characterized by avyaktabhāṣaṇam [incoherent speech], prasaktabhāṣaṇam [stammering speech/unable to speak, aphasia], kṣīṇaḥ [debilitatated person], kampaḥ/vēpanam [tremors], animiṣākṣasya [unable to close eye] -",irremediable facial palsy
AAC-5,(a) asthiprabhedaḥ,(a) asthiprabhedaḥ (a) asthiprabhedaḥ - -,Ostealgia disorder (TM2) ⇒
