namc_code,namc_term_diacritical,short_definition,long_definition,icd_code,query,pred_top1,pred_top3
SL02 (AAB-22),(a) kaṇṭhodhvaṃsaḥ,-,"It is characterised by change in the character of voice making it harsh and husky, feeling of roughness and irritation of throat. This may be explained by: (a) Vitiated vata affecting the speech faculties.",,"(a) kaṇṭhodhvaṃsaḥ (a) kaṇṭhodhvaṃsaḥ it is characterised by change in the character of voice making it harsh and husky, feeling of roughness and irritation of throat. this may be explained by: (a) vitiated vata affecting the speech faculties.",SL02,"['SL02', 'ST0V', 'SN4R']"
SL02 (AAB-22),(a) kaṇṭhodhvaṃsaḥ,-,"It is characterised by change in the character of voice making it harsh and husky, feeling of roughness and irritation of throat. This may be explained by: (a) Vitiated vata affecting the speech faculties.",,"(a) kaṇṭhodhvaṃsaḥ (a) kaṇṭhodhvaṃsaḥ it is characterised by change in the character of voice making it harsh and husky, feeling of roughness and irritation of throat. this may be explained by: (a) vitiated vata affecting the speech faculties.",SL02,"['SL02', 'ST0V', 'SN4R']"
AAB-23,karṇaśūlaḥ (kēvalavāta),-,-,,karṇaśūlaḥ (kēvalavāta) karṇaśūlaḥ (kēvalavāta),SK87,"['SK87', 'ST20', 'SM94']"
AAB-24,kampaḥ/vēpathuḥ (kēvalavāta),-,-,,kampaḥ vēpathuḥ (kēvalavāta) kampaḥ vēpathuḥ (kēvalavāta),SK52,"['SK52', 'ST20', 'SM93']"
AAB-25 (SM1Y),(a) kaṣāyāsyatā,-,-,,(a) kaṣāyāsyatā (a) kaṣāyāsyatā,ST20,"['ST20', 'SM9A', 'SM8B']"
SP97 (AAB-26),(a) klamaḥ,-,"It is characterised by feeling extreme exhaustion even without any physical effort, work. This may be explained by: (a) Vitiation of all the three dosha, seven elementary tissues and ojas.",,"(a) klamaḥ (a) klamaḥ it is characterised by feeling extreme exhaustion even without any physical effort, work. this may be explained by: (a) vitiation of all the three dosha, seven elementary tissues and ojas.",SR4G,"['SR4G', 'SR4F', 'SS56']"
SN41 (AAB-27),(a) kārṣṇyam,-,It is characterised by discoloration or pigmentation of skin. This may be explained by: (a) Increased vatadosha.,,(a) kārṣṇyam (a) kārṣṇyam it is characterised by discoloration or pigmentation of skin. this may be explained by: (a) increased vatadosha.,SN41,"['SN41', 'SR4L', 'SR4J']"
AAB-28,kubjatvam (kēvalavāta),-,-,,kubjatvam (kēvalavāta) kubjatvam (kēvalavāta),ST20,"['ST20', 'SM9A', 'SM8B']"
SP61 (AAB-29),(a) kārśyam,-,"It is characterised by sudden or gradual loss of body weight, loss of muscle. This may be explained by: (a) Emaciation in the body due to vitiation of vāta.",,"(a) kārśyam (a) kārśyam it is characterised by sudden or gradual loss of body weight, loss of muscle. this may be explained by: (a) emaciation in the body due to vitiation of vāta.",SP61,"['SP61', 'SR10', 'SR40']"
SN4C (AAB-30),(a) keśabhūmisphuṭanam,-,It is characterised by scaling of scalp / forehead skin. This may be explained by: (a) Increased vatadosha.,,(a) keśabhūmisphuṭanam (a) keśabhūmisphuṭanam it is characterised by scaling of scalp forehead skin. this may be explained by: (a) increased vatadosha.,SN4C,"['SN4C', 'SN70', 'SK50']"
AAB-31,khañjaḥ/khañjatvam (kēvalavāta),-,-,,khañjaḥ khañjatvam (kēvalavāta) khañjaḥ khañjatvam (kēvalavāta),ST20,"['ST20', 'SM9A', 'SM8B']"
AAB-32,garbhanāśaḥ (kēvalavāta),-,-,,garbhanāśaḥ (kēvalavāta) garbhanāśaḥ (kēvalavāta),ST20,"['ST20', 'SM9A', 'SM8B']"
SP45 (AAB-33),(a) grīvāstambhaḥ,-,"It is characterised by pain, stiffness of the neck. This may be explained by: (a) Vitiation of vata causing stiffness of neck muscles.",,"(a) grīvāstambhaḥ (a) grīvāstambhaḥ it is characterised by pain, stiffness of the neck. this may be explained by: (a) vitiation of vata causing stiffness of neck muscles.",SP45,"['SP45', 'SR1A', 'SR15']"
AAB-34,gudabhraṁśaḥ (kēvalavāta),-,-,,gudabhraṁśaḥ (kēvalavāta) gudabhraṁśaḥ (kēvalavāta),ST20,"['ST20', 'SM9A', 'SM8B']"
SM50 (AAB-35),(a) gudārtiḥ,-,It is characterised by pain in the anal region radiating to rest of perineum and lower back. This may be explained by: (a) Severe vitiation of Descending vata affecting the anal region.,,(a) gudārtiḥ (a) gudārtiḥ it is characterised by pain in the anal region radiating to rest of perineum and lower back. this may be explained by: (a) severe vitiation of descending vata affecting the anal region.,SM50,"['SM50', 'SM56', 'SM51']"
AAB-36 (SP1Y),(a) gulpha-grahaḥ,-,-,,(a) gulpha grahaḥ (a) gulpha grahaḥ,SP42,"['SP42', 'ST20', 'SM93']"
AAB-37,gr̥dhrasī (kēvalavāta),-,"the disorder is characterized by kramāt sphik-kaṭi-pr̥ṣṭha-ūru-jānu-jaṅghā-padēṣu stambhaḥ [gradual stiffness in gluteal region- low back- upper back- thigh- knee- calf muscles- feet], spandatē muhuḥ [constant/frequent throbbing/twiching sensation], sakthi-nigr̥hṇana [supression/holding down of thighs], jānusaṁdhi-sphuraṇam [twitching sensation in knee], jānusaṁdhi-stabdhatā [stiffness in knee joint], kaṭisaṁdhi-sphuraṇam [twitching sensation in waist], kaṭisaṁdhi-stabdhatā [stiffness of lowback], ūrusaṁdhi-sphuraṇam [twitching sensation in thigh], ūrusaṁdhi-stabdhatā [stiffness in thigh], tōdaḥ [pricking pain], dēha-pravakratā [bending/flexion of the body]",,"gr̥dhrasī (kēvalavāta) gr̥dhrasī (kēvalavāta) the disorder is characterized by kramāt sphik kaṭi pr̥ṣṭha ūru jānu jaṅghā padēṣu stambhaḥ [gradual stiffness in gluteal region low back upper back thigh knee calf muscles feet], spandatē muhuḥ [constant frequent throbbing twiching sensation], sakthi nigr̥hṇana [supression holding down of thighs], jānusaṁdhi sphuraṇam [twitching sensation in knee], jānusaṁdhi stabdhatā [stiffness in knee joint], kaṭisaṁdhi sphuraṇam [twitching sensation in waist], kaṭisaṁdhi stabdhatā [stiffness of lowback], ūrusaṁdhi sphuraṇam [twitching sensation in thigh], ūrusaṁdhi stabdhatā [stiffness in thigh], tōdaḥ [pricking pain], dēha pravakratā [bending flexion of the body]",SK55,"['SK55', 'SR62', 'SS2B']"
SK91 (AAB-38),(a) ghrāṇanāśaḥ,-,"It is characterised by decreased or loss of the smell. It may be explained by: (a) Vatadosha, kaphadosha blocking nasal passages",,"(a) ghrāṇanāśaḥ (a) ghrāṇanāśaḥ it is characterised by decreased or loss of the smell. it may be explained by: (a) vatadosha, kaphadosha blocking nasal passages",SK91,"['SK91', 'SR4M', 'SN10']"
AAB-39(SP1Y),(a) jānubhedaḥ,-,-,,(a) jānubhedaḥ (a) jānubhedaḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
AAB-40 (SP1Y),(a) jānuviśleṣaḥ,-,-,,(a) jānuviśleṣaḥ (a) jānuviśleṣaḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
SP95 (AAB-41),(a) jr̥mbhā,-,It is characterised by morbid excessive yawning. This may be explained by: (a) Increased vatadosha.,,(a) jr̥mbhā (a) jr̥mbhā it is characterised by morbid excessive yawning. this may be explained by: (a) increased vatadosha.,SP95,"['SP95', 'SR80', 'SS21']"
AAB-42(SP98),(a) tamaḥ,-,-,,(a) tamaḥ (a) tamaḥ,SP98,"['SP98', 'ST20', 'SM99']"
AAB-43,timiraḥ (kēvalavāta),-,-,,timiraḥ (kēvalavāta) timiraḥ (kēvalavāta),SK65,"['SK65', 'ST20', 'SM93']"
AAB-44 (SN9Y),(a) prasuptiḥ                              (a) tvakśūnyatā,-,-,,(a) prasuptiḥ (a) tvakśūnyatā (a) prasuptiḥ (a) tvakśūnyatā,SK54,"['SK54', 'ST20', 'SM93']"
AAB-45 (SP9Y),(a) todaḥ,-,-,,(a) todaḥ (a) todaḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
AAB-46(SK30),(a) daṇḍakaḥ,-,-,,(a) daṇḍakaḥ (a) daṇḍakaḥ,SK30,"['SK30', 'ST20', 'SM92']"
AAB-47,dantabhēdaḥ (kēvalavāta),-,-,,dantabhēdaḥ (kēvalavāta) dantabhēdaḥ (kēvalavāta),ST20,"['ST20', 'SM9A', 'SM8B']"
AAB-48 (SM1Y),(a) dantaśaithilyam,-,-,,(a) dantaśaithilyam (a) dantaśaithilyam,ST20,"['ST20', 'SM9A', 'SM8B']"
SN60(AAB-49),(a) nakhabhedaḥ,-,"It is characterised by whitish, mica coloured discoloration, brittleness of nails. This may be explained by: (a) Vitiated digestive and metabolic factors resulting in non absorption of nutrients leading to vitiation of vatadosha.",,"(a) nakhabhedaḥ (a) nakhabhedaḥ it is characterised by whitish, mica coloured discoloration, brittleness of nails. this may be explained by: (a) vitiated digestive and metabolic factors resulting in non absorption of nutrients leading to vitiation of vatadosha.",SN60,"['SN60', 'SR1A', 'SR15']"
AAB-50(SN7Y),(a) hrasvakeśaḥ,-,-,,(a) hrasvakeśaḥ (a) hrasvakeśaḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
AAB-51,nirāmavātaḥ,-,-,,nirāmavātaḥ nirāmavātaḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
AAB-52,pakṣāghātaḥ/pakṣavadhaḥ (kēvalavāta),-,-,,pakṣāghātaḥ pakṣavadhaḥ (kēvalavāta) pakṣāghātaḥ pakṣavadhaḥ (kēvalavāta),SK22,"['SK22', 'ST20', 'SM92']"
AAB-53(SK21),(a) pāṅgulyam,-,-,,(a) pāṅgulyam (a) pāṅgulyam,SK21,"['SK21', 'ST20', 'SM92']"
AAB-54(SK5Y),(a) pādabhraṃśaḥ,-,-,,(a) pādabhraṃśaḥ (a) pādabhraṃśaḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
AAB-55(SP4Y),(a) pādaśūlaḥ,-,-,,(a) pādaśūlaḥ (a) pādaśūlaḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
AAB-56(SP45),(a) pādasuptatā,-,-,,(a) pādasuptatā (a) pādasuptatā,SP45,"['SP45', 'ST20', 'SM93']"
SN4R(AAB-57),(a) pāruṣyam,-,It is characterised by roughness and thickness of skin may be associated with itching. This may be explained by: (a) Vitiated vatadosha.,,(a) pāruṣyam (a) pāruṣyam it is characterised by roughness and thickness of skin may be associated with itching. this may be explained by: (a) vitiated vatadosha.,SN4R,"['SN4R', 'ST0N', 'ST0L']"
AAB-58,pārśvāvamardaḥ (kēvalavāta),-,-,,pārśvāvamardaḥ (kēvalavāta) pārśvāvamardaḥ (kēvalavāta),ST20,"['ST20', 'SM9A', 'SM8B']"
AAB-59(SP9Y),(a) piṇḍikodveṣṭanam,-,-,,(a) piṇḍikodveṣṭanam (a) piṇḍikodveṣṭanam,ST20,"['ST20', 'SM9A', 'SM8B']"
AAB-60,purīṣātigāḍhatvam (kēvalavāta),-,-,,purīṣātigāḍhatvam (kēvalavāta) purīṣātigāḍhatvam (kēvalavāta),ST20,"['ST20', 'SM9A', 'SM8B']"
SP42(AAB-61),(a) pṛṣṭha-grahaḥ,-,"It is characterised by backache of various degrees associated with stiffness and immobility. This may be explained by: (a) Vitiation of vata, kapha affecting the local muscle tissue.",,"(a) pṛṣṭha grahaḥ (a) pṛṣṭha grahaḥ it is characterised by backache of various degrees associated with stiffness and immobility. this may be explained by: (a) vitiation of vata, kapha affecting the local muscle tissue.",SP42,"['SP42', 'SR1A', 'SR52']"
AAB-62,pralāpakaḥ (kēvalavāta),-,-,,pralāpakaḥ (kēvalavāta) pralāpakaḥ (kēvalavāta),SQ00,"['SQ00', 'ST20', 'SM99']"
AAB-63,bādhiryam (kēvalavāta),-,-,,bādhiryam (kēvalavāta) bādhiryam (kēvalavāta),SK81,"['SK81', 'ST20', 'SM9A']"
AAB-64(SP4Y),(a) bāhuśoṣaḥ,-,-,,(a) bāhuśoṣaḥ (a) bāhuśoṣaḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
AAB-65(SP9Y),(a) balahāniḥ,-,-,,(a) balahāniḥ (a) balahāniḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
AAB-66(SP9Y),(a) bhedaḥ,-,-,,(a) bhedaḥ (a) bhedaḥ,SM37,"['SM37', 'ST20', 'SM98']"
AAB-67,,-,-,,,ST20,"['ST20', 'SM9A', 'SM8B']"
AAB-68(SM7Y),(a) mala-apravṛtiḥ,-,-,,(a) mala apravṛtiḥ (a) mala apravṛtiḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
AAB-69,mūkatvam (kēvalavāta),-,-,,mūkatvam (kēvalavāta) mūkatvam (kēvalavāta),SL07,"['SL07', 'SM92', 'SM98']"
AAB-70,mōhaḥ (kēvalavāta),-,-,,mōhaḥ (kēvalavāta) mōhaḥ (kēvalavāta),ST20,"['ST20', 'SM9A', 'SM8B']"
AAB-71,bhramaḥ (kēvalavāta),-,-,,bhramaḥ (kēvalavāta) bhramaḥ (kēvalavāta),SK10,"['SK10', 'ST20', 'SM92']"
AAB-72(SK5Y),(a) bhrūvyudāsaḥ,-,-,,(a) bhrūvyudāsaḥ (a) bhrūvyudāsaḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
AAB-73,,-,-,,,ST20,"['ST20', 'SM9A', 'SM8B']"
SM1N(AAB-74),(a) mukhaśoṣaḥ,-,"It is characterised by dryness of the tongue and may be associated with dryness of mouth, bitterness, heartburn. This may be explained by: (a) Vitiation of kapha, vata affecting the tongue.",,"(a) mukhaśoṣaḥ (a) mukhaśoṣaḥ it is characterised by dryness of the tongue and may be associated with dryness of mouth, bitterness, heartburn. this may be explained by: (a) vitiation of kapha, vata affecting the tongue.",SR1A,"['SR1A', 'SM1N', 'ST11']"
SM81(AAB-75),(a) mūtranigrahaḥ,-,"It is characterised by retention of urine, inability to urinate, abdominal pain. This may be explained by: (a) Retention of the urine due to vātadosha.",,"(a) mūtranigrahaḥ (a) mūtranigrahaḥ it is characterised by retention of urine, inability to urinate, abdominal pain. this may be explained by: (a) retention of the urine due to vātadosha.",SM81,"['SM81', 'SR82', 'SR83']"
